English	Slang	Usage
Bent (criminal)	Stoke on Trent	'e's stoke he is. [Thanks to Alan Little. See also 'Bent (gay)']
Bent (homosexual)	Behind with the Rent	You're not behind with the rent? [Thanks to Gez who heard this in the film 'Layer Cake'
Bent (homosexual)	Duke of Kent	Bet you any money e's a duke [Thanks to Tom Hoyle]
Bent (homosexual)	Stoke on Trent	That bloke's a bit stoke [Thanks to Alex Wood. See also 'Bent (criminal)']
Best	Mae West	I'm Mae West at Cockney Rhyming Slang [Thanks to Kris Grissom]
Beverage	Edna Everage	Would you like an Edna? [Edna Everage (aka Dame Edna) is a star, darling! Thanks to Sue Cope.]
Bill (statement)	Beecham's Pill	I got my Beecham's from the tax people.
Bill (statement)	Jack and Jill	I'm going home - can I have my Jack? [See also Hill]
Bill (statement)	Jimmy Hill	Have we paid the Jimmy Hill yet? [Thanks to Magnus Spencer. Jimmy Hill is a football pundit and former player]
Bird	Richard the Third	Look what that bloody Richard's done to my car!
Bird (woman)	Lemon Curd	I’m off to see me lemon [Thanks to Jesse Wynne]
Bitter (beer)	Apple Fritter	I've tried that new apple but I prefer my salmon [Salmon and trout - stout].
Bitter (beer)	Gary Glitter	Give us a pint of gary [Thanks to Gareth Evans]
Bitter (beer)	Giggle and Titter	'ere. I could use a giggle. [Thanks to Martin McKerrell]
Bitter (beer)	Kitty Litter	A pint of kitty litter please [Thanks to Mark]
Blind	Bacon Rind	Are you completely bacon? [Thanks to Damon]
Blonde	Magic Wand	I pulled a top magic wand last night [Thanks to Lee Henderson]
Boat	Nanny Goat	I took my nanny out on the river.
Bog (toilet)	Kermit the Frog	Sorry mate - where's the kermit [Thanks to Ray Wells]
Boil	Can of Oil	'e'd be nice looking once his canov's clear up. [Thanks to Marie Gordon]
Boil	Conan Doyle	'e's got a conan on his bottle the size of me fist! [Thanks to Marie Gordon.  John Mahony adds that very often the expression used is "Sir Arthur", as in Sir Arthur Conan Doyle - He's got a Sir Arfur on his bushel]
Bollocks	Jackson Pollock	This modern art's a load of old Jacksons [Thanks to Justin Ellis. Pollock is a "20th Century strange artist".]
Bones	Tom Jones	Ooh, me toms are clicking [Thanks to Hefin Gill]
Book	Captain Hook	I've read this captain.
Book	Fish Hook	I've read the new fish by Deighton.
Boots	Daisy Roots	You can't go out in the rain without your daisies.
Booze	Tom Cruise	I need some Tom [Thanks to Christopher Loosemore]
Boozer (pub)	Battle Cruiser	I'm going to pop round the battle before I go to the party [Thanks to Peter Cotterell and Robert Manikiam]]
Boss	Joe Goss	Never trust a joe [Joe Goss was a talented boxer - Thanks to Sanor]
Boss	Pitch and Toss	My bloody pitch kept me late again.
Bottle	Aristotle	If you want milk, put the Ari on the doorstep. [Every now and again they throw a curve at you. One person has suggested that, not being familiar with Aristotle, early Cockney's might have assumed the name was Harry Stottle!  Heard from John Mahony who says that when one uses the expression "lose your bottle" it means to lose the contents of your arse, i.e. "he's shit it", but Ken Caleno says it means to lose your courage (from Courage's bottled beer)]
Bra	Tung Chee Hwa	I'm off to buy a tung for the troubles birthday [Admittedly this isn't in common usage - the person who submitted it is an ex-pat living in Hong Kong - I just think it's neat that we Brits will try to bugger up the language of every country we visit! Tung Chee Hwa is the Chief Executive of Hong Kong.]
Braces	Airs and Graces	He's got his new airs on.
Brandy	Fine and Dandy	A small drop of fine would suit me.
Bread	Uncle Fred	Hey, mum. Can I have some Uncle Fred with this?
Bread (money)	Poppy Red	Where's he stashed his poppy [Thanks to Emyr Marks]
Breast	East West	‘ave a look at her easts [Thanks to Sanor]
Broke (financial)	Hearts of Oak	I'm skint mate. Bleedin' hearts.
Brother	Manhole Cover	My manhole cover is coming for a visit. [How does manhole cover rhyme with brother you ask? Simple... if you pronounce brother as "bruvver"!]
Brother	One and t'other	'ere's me one and t'other now. [Thanks to Bernie Albert]
Brussel Sprout	Doubt	Without a brussel mate [Thanks to Chris Ducker]
Brussel Sprout	Shout	Give us a brussel when you're up to it.
Bug	Steam Tug	The bed was full of steamers [Thanks to Roger]
Bum	Kingdom Come	He just sat on his kingdom all day [Thanks to Alan Little]
Bunion	Spanish Onion	Oooh – ‘e’s stepped on me Spanish onion [Thanks to Kristin]
Bunk (bed)	Pineapple Chunk	I could use a couple of hours in the pineapple [Thanks to B. Hygate]
Burst (urinate)	Geoff Hurst	I'm dying for a Geoff. [Geoff Hurst's World Cup Final hat-trick v West Germany at Wembley in 1966 and six goals v Sunderland (19.10.68) two years later, have been woven into the fabric of football folklore. Thanks to Stuart Burgess & Gordon Leel]
Bus	So Say All Of Us	hurry - here's the sosay [Thanks to Peter Duggan]
Butter	Stammer and Stutter	Extra stammer for me.
Butter	Talk and Mutter	Would you like some talk on your toast [Thanks to Barry Greenaway]
Cab (taxi)	Flounder & Dab	See if you can flag down a flounder [Thanks to Chris Webb]
Cab (taxi)	Sherbet Dab	'e's been on the sherbet for five years (driving a cab). [Thanks to John Butt]
Cab (taxi)	Smash & Grab	Let's look for a smash and grab [Thanks to Simon Inger]
Café (pronounced caff)	Riff Raff	I'm off to the riff raff [Thanks to Mike Leith]
Cake	Sexton Blake	ow about a nice slice of sexton? [Possible that Sexton Blake was a detective in comic book stories (?) - thanks to Christopher Webb]
Candle	Harry Randall	Look at all the Harry's on his cake.
Cans (headphones)	Desperate Dans	'ere - put your desperates on [Thanks to Chris Hanley]
Car	Jam Jar	Bloody jam is down again.
Car	Kareem Abdul Jabbar	Bloody kareem is down again. [Kareem Abdul Jabbar is a basketball player in the U.S. How he got into rhyming slang I'll never know! Thanks to Richard English]
Cardy (cardigan)	Linda Lusardi	Oh my God – look at that awful Linda he’s wearing [Thanks to Richard Grieve]
Cash	Arthur Ashe	That blokes not short of Arthur [Thanks to Andrew Turner]
Cash	Bangers and Mash	I knew his cheques were dodgy, so I got him to pay me in bangers [Thanks to John Basquill - see also Sausage and Mash]
Cash	Crosby, Stills, Nash	That blokes not short of Crosby [Thanks to Andrew Turner]
Cash	Harry Nash	There’s a discount if you’re paying Harry Nash [Thanks to Phil Woodford – if anyone knows the origin of this I’d appreciate it]
Cash	Oscar Asche	Haven't got an Oscar [Oscar Asche (1871-1936) was an actor and producer or some renown.  Thanks to Ruth Summers]
Cash	Sausage and Mash	I haven't got a sausage. [A little bit different, but fairly common in many English-speaking countries - see also bangers and mash].
Cash	Slap Dash	I haven't any slap dash on me [Thanks to Anonymous]
Cell	Flowery Dell	I've got three more years in this flower.
Chair	Lion's Lair	Have a lion's while you wait.
Chalk	Duke of York	All I got for my birthday is a bit of duke.
Chancer (someone not qualified)	Bengal Lancer	News paper adds would state no bengal lancers when advertising for tradesmen. [Thanks to Ray Davis]
Change	Rifle Range	I haven’t got and rifle for the bus [Thanks to Claire Reed]
Chat	Bowler Hat	Let’s get together for a bowler [Thanks to Simon Bray-Stacey]
Cheek	Hide and Seek	He kissed me on my hide and seek [Thanks to Gillian White]
Cheese	John Cleese	I'm meeting the big John Cleese today at work [Thanks to Mitchell]
Cheese	Stand at Ease	Wouldn't mind a bit of ease. [For whatever reason this one is backwards - the only rule is that there are no rules!].
Cheque	Goose's Neck	He stuck me with a bouncing goose.
Cheque	Gregory Peck	I never 'ad any bread on me, so I 'ad to pay by Gregory. [Thanks to Peter Cotterell] or, [another example from Kevin McKerrell] - I'm going down to the iron to sausage a gregory.
Cheque	Jeff Beck	I'll send you a Jeff Beck [Thanks to Jimmy Horowitz]
Chest	Bird's Nest	I had to punch him in the bird's nest. [Thanks to Robert Lynch]
Chest	George Best	(In football) Over 'ere son, on me Georgie [Thanks to S. Sexton. George Best is a famous footballer]
Chest	Pants and Vest	This cough is killing me pants and vest 
Child Molester	Charlie Chester	Have you seen how young ‘is bird is?  He’s a right Charlie Chester [Thanks to Tim B]
Child Molester	Uncle Fester	He's a bit of an Uncle Fester [Thanks to Graham Taylor]
Chin	Biscuit Tin	He's got a big biscuit [Thanks to Keith Cole]
Chink (Chinese)	Rink-a-dink	We're going to get rinky take-away. [Thanks to Sparky James]
Chink (Chinese)	Tiddley Wink	‘e’s not from around these parts.  I think e’s a tiddley [Thanks to Stewart Stallworthy]
Chips	Jockey Whips	I'll have a large plate of jockey's [Thanks to Paul Aylett]
Chum	Fruit Gum	How yer doing, my old fruit [Thanks to Nick Williams]
Cider	Easy Rider	Pint of Easy Rider please [Thanks to Jo Miller]
Cider	Sue Ryder	Give us a pint of Sue, mate [Thanks to Graham Taylor - The Sue Ryder Foundation works for the sick and disabled]
Cider	Winona Ryder	Can I get two pints of winona please [Thanks to Tony Whelan]
Cigar	La-di-da	I enjoy a good la-di-da after me meal [Thanks to Sparky James.  Lenny wrote to say that Michael Caine (a somewhat well known Cockney) once asked if he could light up a lardy in his taxi.]
Clanger (mistake)	Coat Hanger	He dropped a coat [Thanks to Neil Devlin. A clanger is when you really put your foot in it.]
Class	Bottle and Glass	He don't have the bottle [Thanks to Rob O'Connor]
Clink (jail)	Kitchen Sink	After that last episode he'll be in the kitchen for a while [Thanks to Wendy Shaw]
Clock	Dickory Dock	What's the time on the dickory? [Paul Millington writes  that cabbies used the expression to refer to the meter [“What’s on the hickory then?)]
Clue	Danny LaRue	He ain't got a danny. [Thanks to Charly Large]
Clue	Pot of Glue	'e hasn't got a pot of glue [Thanks to Martin Groves]
Clue	Scooby-Doo	I haven't got a scooby [Thanks to Jonathan Harris]
Clue	Vindaloo	He hasn’t got a bloody vinda [Thanks to Carla Forbes Pool]
Coat	Nanny Goat	Put your nannies on - it's taters out. [Thanks to Martin McKerrell]
Coat	Weasel and Stoat	I left my weasel in the pub. [See also throat]
Cockney Rhyming Slang	Chitty Chitty Bang Bang	We're talking about chitty chitty on this web site [Thanks to Hywel Jones]
Coffee	Everton Toffee	I’ll have an everton [Thanks to Andrew Mkandawire]
Cold	Potatoes in the Mould	Blimey – it’s taters out there [Thanks to Sparky James]
Cold	Potatoes in the mould	Cor, taters out there init? [Thanks to Ossie Mair]
Cook	Babbling Brook	My missus couldn't babble to save her life. [See also Crook]
Copper (police)	Grasshopper	He got nabbed by the grasshoppers.
Coppers (police)	Bottles and Stoppers	Blimey - I think the bottles are on to me!
Corner	Johnnie Horner	I'll meet you 'round the Johnnie.
Cough	Boris Karloff	That’s a nasty Boris you’ve got there mate [Thanks to Paul Liney]
Cough	Boris Karloff	That’s a nasty old boris you’ve got there son [Thanks to Paul Liney]
Cough	Darren Gough	This Darren is killing me pants and vest [Darren Gough is one heck of a cricketer.]
Crabs (pubic lice)	Marble Slabs	E's got a right case of marbles [Thanks to Chris Webb]
Crap	Macca	I'm off for a macca [Mark Crowe admits this ones a bit convoluted but apparently it's common in some areas so I've included it. Comes from Macaroni = pony; Pony & Trap = Crap]
Crap	Pony and Trap	'Ang on, mate. Just gotta 'ave a pony [Thanks to Peter Cotterell]. Or, another usage if something's a bit off (i.e.. not of good quality) - That's a bit pony mate! [Thanks to Jon Hughes]
Crash	Sausage and Mash	He was in a fearsome sausage.
Crime	Lemon Lime	Not one lemon reported all night [Thanks to Alan Little]
Cripple	Raspberry Ripple	The old boy's a raspberry [Thanks to Sparky James]
Crook	Babbling Brook	He's always on the babble. [Meaning he's always planning something crooked. See also Cook].
Cuddle	Mix and Muddle	Come and give us a nice mix and muddle [Thanks to Claire Reed]
C**t	Berkshire Hunt	He's a right berk.
C**t	Ethan Hunt	He's a right Ethan [Ethan Hunt is the main characters name in the Mission: Impossible movies.  Thanks to Steve Fuller]
C**t	Grumble and Grunt	He's after your grumble [Thanks to Chris Webb]
C**t	Struggle and Grunt	That ones a right struggle.
Cupboard	Mother Hubbard	There's nothing in the mother.
Curry	Ruby Murray	I'm going for a ruby. [Thanks to Mark Pearson][Ruby Murray was a singer in Glasgow back in the 30's or 40's - thanks to Peter Cotterell for the Ruby Murray info. N. Matthews tells me that Ruby was an Irish singer (1935-1996) popular in the mid to late 1950's.  Got a note from Sandy Everitt who knew Ruby Murray – Ruby was a top recording star in the 1950’s who achieved the rare feat of having five songs in the top 20 at one time.  Ruby died in 1996]
Curtains	Richard Burtons	Shut the Richards - I'm trying to get some kip [Thanks to Ray Wells]
Darlin'	Briney Marlin	You look lovely tonight, me old briney.
Daughter	Bricks and Mortar	I'm taking me bricks and mortar shopping. [Thanks to Geoff and Niki Sams]
Daughter	Didn't oughta	He brought his didn't oughta [Thanks to Chris Webb]
Daughter	Lamb to the Slaughter	That blokes lamb is a real stunner [Thanks to Peter Schlosser]
Dead	Brown Bread	I'm telling you, mate. He's brown bread [Thanks to Peter Cotterell]
Dead	Hovis Bread	Old Jim is hovis [Thanks to Jeremy Williams]
Deaf	Mutt and Jeff	Poor buggers mutt and jeff. [Usually full slang expression is used. Keith Turner reports that very often the expression is shortened to mutton as in "Poor buggers mutton".]
Decks (turntables)	Posh ‘n Becks	Have you got yer posh ‘n becks yet [Thanks to anonymous – see Sex - Posh ‘n Becks]
Dick (penis)	Hampton Wick	He got his hampton out in the pub last night [Thanks to David Agius.  John Parker adds:  The best use of this was the Goon Show which for a long time had a mythical character called Hugh Hampton where the Hugh was mispronounced as Huge. This running joke was totally missed by the BBC management, who would never have let anything like that on the radio in the 50s/60s.  Graham recalls that the characters name was actually Hugh Jampton - same end result.]
Dick (penis)	Three Card Trick	She couldn't keep her jazz bands off my three card trick [Thanks to Peter Norman]
Dictionary	Tom, Dick and Harry	I’ll just check the meaning in the tom [Thanks to Leon Walker]
Dinner	Jim Skinner	Is my Jim ready yet?
Dinner	Lilly and Skinner	What’s for lilly and skinner [Thanks to Jud Chimp]
Dinner	Michael Winner	I’m Hank Marvin.  I could use some top Jackie for me Michael Winner.  [Thanks to Simon Rowan.  Michael Winner is the food critic for the Sunday Times]
Doddle (easy or straight forward)	Glenn Hoddle	That jobs a Glen Hoddle. [Glenn Hoddle is the coach of the English football team replacing Terry Venables. Thanks to Dave Brown]
Dog	Cherry Hogg	My bloody cherry is off again.
Dole (welfare)	Ear’ole (Ear Hole)	If I get the tin tack I’m going on the ear’ole [Thanks to Paul Liney]
Dole (welfare)	Nat King Cole	I've got to sign on the old Nat King [Thanks to Hywel Jones. Ray Wells says it's also known as Old King Cole]
Dole (welfare)	Rock and Roll	'e hasn't worked a day in 'is life... 'e's always been on the rock and roll. [Thanks to Mark Moule]
Dole (welfare)	Sausage Roll	He ain't worked in years - he's on the sausage. [Thanks to Martin McKerrell]
Dollar	Oxford Scholar	Stupid horse cost me an Oxford. [Pre-war the dollar was worth just less than 5 shillings, so an Oxford is worth 5 shillings or a crown - thanks to Jim Williams]
Door	Henry Moore	They broke the 'enry down at number thirty two [Thanks to Alan Little]
Dope (marijuana)	Bob Hope	I think he’s been smoking a bit of Bob Hope [Thanks to Phil Woodford]
Draft	George Raft	There's a bit of a george in here. [Thanks to Jim Battman]
Drink	Tiddley Wink	Just one more tiddley and I'm off; or, He's popped down to the pub for a tiddle.
Drugs	Persian Rugs	‘ere mate.  Got any Persians? [Thanks to David Rolph]
Drunk	Elephant's Trunk	He shouldn't be driving! He's bloody elephant's.
Dump (shit)	Camel's Hump	Just going for a quick camels [Thanks to Kevin Lowther who tells me this one was used in Abu Dhabi]
Dump (shit)	Donald Trump	I've got to go for a donald [Thanks to Peter Conway]
Dump (shit)	Forrest Gump	"Off out in 10 minutes?" "Yeah, just got to have a Forrest first". [Thanks to Richard English]
Dyke (Lesbian)	Magnus Pike	She looks like a right Magnus [Thanks to Steve Vincent - Magnus Pike was an 'off the wall' TV personality who would (and could) explain complex scientific concepts to kids]
Dyke (lesbian)	Raleigh Bike	She’s a right Raleigh [Thanks to Claire Reed]
Dyke (Lesbian)	Three Wheel Trike	She's a bit of a three wheeler [Thanks to Barry Smith.  Ray Wells has heard the expression rusy bike as well]
Early	Liz Hurley	‘e’s never gotten here liz [Thanks to Paul Woodford
Earner	Bunsen Burner	The jobs not much but it's a nice little bunsen [Thanks to Laurie Bamford]
Ears	Ten Speed Gears	Look at the size of 'is ten speeds [Thanks to Billy Wade]
Engineer	Ginger Beer	He knows his stuff. He is a ginger, after all.
Erection	Standing Election	He's holding a standing election in his callards [Thanks to Buddy]
Evening Post	Beans on Toast	Go and buy the beans on toast will you son [Thanks to Hefin Gill]
Eyes	Mince Pies	She got beatiful minces.
Fable	Railway Timetable	(After someone tells you a tall tale) What’s he been doin’?  Reading a railway table.  [Might also be substituted with bus timetable – Thanks to Paul Island]
Face	Boat Race	Nice legs, shame about the boat. [Also a good song by The Monks]
Face	Cod & Plaice	It's too cold outside; no good for my cod [Thanks to Mark Elston]
Face	Chevy Chase	She's got a lovely Chevy Chase [Thanks to Adrian Calvin and Paul Beer]
Face	Jem Mace	Wipe that look off your jem [Thanks to Chris Webb - Jem Mace was a boxer in the late 19th century]
Facts	Brass Tacks	'Ere, you've got your brass wrong! [Thanks to Alan Little]
Fag (cigarette)	Cough and Drag	I’m going out for a quick cough and drag [Thanks to Trevor Baker]
Fag (cigarette)	Harry Wragg	Have you got a harry? [Frank Baynham reports that Harry Wragg was a famous jockey]
Fag (cigarette)	Melvynn Bragg	Oi, mate. Can I scrounge a melvynn of you [Thanks to Mark Holmans who reports that Melvynn was a television host]
Fag (cigarette)	Oily Rag	Give us an oily. [Thanks to David Hughes]
Fag (cigarette)	Toe Rag / Tow Rag	Lend us a sprarsy - I wanna get some toe-rags [Thanks to Mike Smith. Mike says he thinks toe-rags refer to the rags people used to wrap around their feet when they didn't have shoes… we used to call our socks toe-rags which is probably the same origin. He also says his old dad used to call some people a toe-rag and suspects it might have been an insult (reference to fag = queer).] 

[Martin McKerrell adds that toe rag referred to a small time petty thief, in his words "the sort of dirty little toe rag who would live next door and break into your house and nick the Christmas presents".] [Gillian adds "term is commonly used, at least in Scotland, meaning just a bit stronger than "rascal" and probably spelled without the e: 'You little torag.' I always thought it did come from terms used to refer to travelling people."][And Michael Kendix adds:  I heard that "Toe rag" came from "Taureg" a nomadic people living in the Arabian desert, regarded by colonial powers as "low life's".  So, it would be insulting to refer to someone as a "Toe rag", which, as you say, could be used to describe a ne'er do well!  And Paul offers a somewhat disturbing image: In the times of Nelsons navy paper was too expensive to use in the head (toilet) and so sailors would get a short length of rope (toe) and unravel it until it resemble rags (toe-rag), this would then be used instead of paper and had the added benefit that t could be washed and re-used.]
Fake	Sexton Blake	He wears a Cartier but it's a sexton [Thanks to Martyn Tracy. See also 'Sexton Blake-cake']
Fanny	Auntie Annie	She’s just sitting at home on her Auntie Annie [Thanks to “the boys at CHS]
Fanny	Jack and Danny	She's just sitting at home on her Jack and Danny [Thanks to Glenn Collignon]
Farmer (see usage)	Arnold Palmer	'e's a right Arnold [Thanks to Nick Williams. I love this one - it refers to a golfer who spends a lot of time in the long grass around a course]
Farrahs (trousers)	Bow and Arrows	Nice pair of bow and arrows [Use your best Cockney accent here.  The reference is to Farrah slacks – Thanks to Simon Mahon]
Fart	D'Oyly Carte	Have you done a d’oyly? [D’Oyly Carte is a light opera company – thanks to David Poulten]
Fart	Horse and Cart	Have you just horse & carted? [Thanks to Paul Beer]
Fart	Orson (i.e. Horse ‘n Cart)	He’s dropped an orson [Thanks to Paul Gardner]
Fart	Raspberry Tart	He blew a raspberry. [Thanks to Tobias Bard]
Favour	Cheesy Quaver	Do us a cheesy, put it on your web site. [Thanks to Ed Wright]
Feel	Orange Peel	I fancy an orange of her Bristols! [Thanks to Chris Webb)
Feet	Dogs Meat	Me dogs are barking [Meaning my feet are tired.  Thanks to Sparky]
Feet	Plates of Meat	Get your plates of the table.
Fibs (lies)	Scott Gibbs	He’s been telling scotts again [Scott Gibbs is a rugby star – thanks to Hefin Gill]
Fight	Read and Write	He'd rather read than walk away.
Fine	Calvin Klein	I'm calvin today. [Thanks to Tony Alderton]
Fish	Lilian Gish	Good day at the stream. Got a pair of Lilian's.
Fist	Oliver Twist	Next thing I know he's got his Oliver in my face.
Fiver (£5 note)	Lady Godiva	Ere, that bloke still owes me lady! [Thanks to Peter Cotterell]
Fiver (£5 note)	Taxi Driver	'ere - you owe me a taxi [Thanks to David]
Flares (wide bottom trousers)	Lionel Blaire	Got on his best lionels for the evening. [Lionel Blaire is a performer. Thanks to Josh Holmes]
Flash	Lemon Dash	Don’t act so lemon [Thanks to Simon Mahon]
Flash (natty)	Harry Dash	'e was alway a bit of an 'arry [Thanks to Sparky James]
Flowers	April Showers	I forgot it was my anniversary, so I picked some aprils on the way home.
Flying Squad	Sweeney Todd	Here comes the Sweeney [the Flying Squad are the police]
Fork	Duke of York	Keep your fingers out of your grub, man.  Use a duke [Thanks to Sparky James]
Function	Spaghetti Junction	e's got spaghetti tonight.
Garage	Steve Claridge	I've just gotta go down the Steve for some petrol [Thanks to Jon Simmons. It helps if you realize that garage, which commonly rhymes with mirage in North America, more usually rhymes with carriage in Britain. A great Tony Hancock piece has him trying to act all condescending and pronouncing it the American way, confusing the ears off a local constable. Steve Claridge is a venerable striker, late of Leicester.]
Gargle (drunk)	Arthur Scargill	'e's right Authur'd [Thanks to John Claffey]
Gay (homosexual)	Bale of Hay	Don't bother Britany - he's bale. [Thanks to Uncle Custard who also provided the example of usage… just who do you suppose Britany is?]
Gay (homosexual)	Doctor Dre	E’s a bit of a doctor [Dr. Dre is a rap artist – Thanks to Will Sowden]
Gay (homosexual)	Finlay Quaye	That boozer is  Finlay ub [Thanks to Stuart Taylor –Finlay Quaye is a musician]
Gay (homosexual)	First of May	He's a right first [Thanks to Jeremy Williams]
Gay (homosexual)	Ted Ray	He's a bit Ted. [Ted Ray was an actor/comedian in the sixties. This association actually comes from a particularly bad movie "My Wife's Family" where he played a character called Jack Gay. Thanks to Stuart Burgess & Gordon Leel]
Geezer	Fridge & Freezer	He’s a right fridge [Thanks to Tomma]
Geezer	Ice Cream Freezer	'e's not a bad old ice cream [Thanks to Vince Scott]
Geezer	Julius Caesar	'ere, look at the 'ampsteads on that Julius [Thanks to Dudley]
Geezer	Lemon Squeezer	I saw that lemon we met in the rub-a-dub last night [Thanks to Mark Foster]
